timestamp,container,cpu_percent,memory_usage,memory_percent,network_io,block_io,pids
2026-08-02T21:54:21+00:00,webserver-debug,0.00%,4.719MiB / 15.46GiB,0.03%,4.04kB / 1.68kB,0B / 12.3kB,5
2026-08-02T21:54:21+00:00,noisy-service,0.14%,492KiB / 15.46GiB,0.00%,2.92kB / 126B,0B / 0B,2
2026-08-02T21:54:21+00:00,debug-config,0.00%,340KiB / 256MiB,0.13%,2.54kB / 126B,0B / 0B,1
2026-08-02T21:54:21+00:00,debug-cpu-load,50.54%,348KiB / 64MiB,0.53%,2.27kB / 126B,0B / 0B,1
2026-08-02T21:54:21+00:00,debug-memory-load,0.00%,74.07MiB / 96MiB,77.16%,2.15kB / 126B,0B / 0B,1
2026-08-02T21:54:25+00:00,webserver-debug,0.00%,4.719MiB / 15.46GiB,0.03%,4.04kB / 1.68kB,0B / 12.3kB,5
2026-08-02T21:54:25+00:00,noisy-service,0.00%,492KiB / 15.46GiB,0.00%,2.92kB / 126B,0B / 0B,2
2026-08-02T21:54:25+00:00,debug-config,0.00%,340KiB / 256MiB,0.13%,2.54kB / 126B,0B / 0B,1
2026-08-02T21:54:25+00:00,debug-cpu-load,51.99%,348KiB / 64MiB,0.53%,2.34kB / 126B,0B / 0B,1
2026-08-02T21:54:25+00:00,debug-memory-load,0.00%,74.07MiB / 96MiB,77.16%,2.15kB / 126B,0B / 0B,1
2026-08-02T21:54:29+00:00,webserver-debug,0.00%,4.719MiB / 15.46GiB,0.03%,4.04kB / 1.68kB,0B / 12.3kB,5
2026-08-02T21:54:29+00:00,noisy-service,0.14%,484KiB / 15.46GiB,0.00%,2.99kB / 126B,0B / 0B,2
2026-08-02T21:54:29+00:00,debug-config,0.00%,340KiB / 256MiB,0.13%,2.54kB / 126B,0B / 0B,1
2026-08-02T21:54:29+00:00,debug-cpu-load,51.56%,348KiB / 64MiB,0.53%,2.34kB / 126B,0B / 0B,1
2026-08-02T21:54:29+00:00,debug-memory-load,0.00%,74.07MiB / 96MiB,77.16%,2.15kB / 126B,0B / 0B,1
2026-08-02T21:54:33+00:00,webserver-debug,0.00%,4.719MiB / 15.46GiB,0.03%,4.04kB / 1.68kB,0B / 12.3kB,5
2026-08-02T21:54:33+00:00,noisy-service,0.15%,488KiB / 15.46GiB,0.00%,2.99kB / 126B,0B / 0B,2
2026-08-02T21:54:33+00:00,debug-config,0.00%,340KiB / 256MiB,0.13%,2.54kB / 126B,0B / 0B,1
2026-08-02T21:54:33+00:00,debug-cpu-load,50.03%,348KiB / 64MiB,0.53%,2.34kB / 126B,0B / 0B,1
2026-08-02T21:54:33+00:00,debug-memory-load,0.00%,74.07MiB / 96MiB,77.16%,2.15kB / 126B,0B / 0B,1
2026-08-02T21:54:37+00:00,webserver-debug,0.00%,4.719MiB / 15.46GiB,0.03%,4.04kB / 1.68kB,0B / 12.3kB,5
2026-08-02T21:54:37+00:00,noisy-service,0.13%,484KiB / 15.46GiB,0.00%,2.99kB / 126B,0B / 0B,2
2026-08-02T21:54:37+00:00,debug-config,0.00%,340KiB / 256MiB,0.13%,2.54kB / 126B,0B / 0B,1
2026-08-02T21:54:37+00:00,debug-cpu-load,50.45%,348KiB / 64MiB,0.53%,2.34kB / 126B,0B / 0B,1
2026-08-02T21:54:37+00:00,debug-memory-load,0.00%,74.07MiB / 96MiB,77.16%,2.22kB / 126B,0B / 41kB,1
